name,email,semester,division,batch
Test Student 0057,test.student0057@somaiya.edu,5,B,B2
Test Student 0058,test.student0058@somaiya.edu,5,B,B1
Test Student 0059,test.student0059@somaiya.edu,5,B,B2
Test Student 0060,test.student0060@somaiya.edu,5,B,B1
Test Student 0061,test.student0061@somaiya.edu,5,B,B2
Test Student 0062,test.student0062@somaiya.edu,5,B,B1
Test Student 0063,test.student0063@somaiya.edu,5,B,B2
Test Student 0064,test.student0064@somaiya.edu,5,B,B1
Test Student 0065,test.student0065@somaiya.edu,5,B,B2
Test Student 0066,test.student0066@somaiya.edu,5,B,B1
Test Student 0067,test.student0067@somaiya.edu,5,B,B2
Test Student 0068,test.student0068@somaiya.edu,5,B,B1
Test Student 0069,test.student0069@somaiya.edu,5,B,B2
Test Student 0070,test.student0070@somaiya.edu,5,B,B1
Test Student 0071,test.student0071@somaiya.edu,5,B,B2
Test Student 0072,test.student0072@somaiya.edu,5,B,B1
Test Student 0073,test.student0073@somaiya.edu,5,B,B2
Test Student 0074,test.student0074@somaiya.edu,5,B,B1
Test Student 0075,test.student0075@somaiya.edu,5,B,B2
Test Student 0076,test.student0076@somaiya.edu,5,B,B1
Test Student 0077,test.student0077@somaiya.edu,5,B,B2
Test Student 0078,test.student0078@somaiya.edu,5,B,B1
Test Student 0079,test.student0079@somaiya.edu,5,B,B2
Test Student 0080,test.student0080@somaiya.edu,5,B,B1
Test Student 0081,test.student0081@somaiya.edu,5,B,B2
Test Student 0082,test.student0082@somaiya.edu,5,B,B1
Test Student 0083,test.student0083@somaiya.edu,5,B,B2
Test Student 0084,test.student0084@somaiya.edu,5,B,B1
Test Student 0085,test.student0085@somaiya.edu,5,B,B2
Test Student 0086,test.student0086@somaiya.edu,5,B,B1
Test Student 0087,test.student0087@somaiya.edu,5,B,B2
Test Student 0088,test.student0088@somaiya.edu,5,B,B1
Test Student 0089,test.student0089@somaiya.edu,5,B,B2
Test Student 0090,test.student0090@somaiya.edu,5,B,B1
Test Student 0091,test.student0091@somaiya.edu,5,B,B2
Test Student 0092,test.student0092@somaiya.edu,5,B,B1
Test Student 0093,test.student0093@somaiya.edu,5,B,B2
Test Student 0094,test.student0094@somaiya.edu,5,B,B1
Test Student 0095,test.student0095@somaiya.edu,5,B,B2
Test Student 0096,test.student0096@somaiya.edu,5,B,B1
Test Student 0097,test.student0097@somaiya.edu,5,B,B2
Test Student 0098,test.student0098@somaiya.edu,5,B,B1
Test Student 0099,test.student0099@somaiya.edu,5,B,B2
Test Student 0100,test.student0100@somaiya.edu,5,B,B1
Test Student 0101,test.student0101@somaiya.edu,5,B,B2
Test Student 0102,test.student0102@somaiya.edu,5,B,B1
Test Student 0103,test.student0103@somaiya.edu,5,B,B2
Test Student 0104,test.student0104@somaiya.edu,5,B,B1
Test Student 0105,test.student0105@somaiya.edu,5,B,B2
Test Student 0106,test.student0106@somaiya.edu,5,B,B1
Test Student 0107,test.student0107@somaiya.edu,5,B,B2
Test Student 0108,test.student0108@somaiya.edu,5,B,B1
Test Student 0109,test.student0109@somaiya.edu,5,B,B2
Test Student 0110,test.student0110@somaiya.edu,5,B,B1
Test Student 0111,test.student0111@somaiya.edu,5,B,B2
Test Student 0112,test.student0112@somaiya.edu,5,B,B1
Test Student 0113,test.student0113@somaiya.edu,5,B,B2
Test Student 0114,test.student0114@somaiya.edu,5,B,B1
Test Student 0115,test.student0115@somaiya.edu,5,B,B2
Test Student 0116,test.student0116@somaiya.edu,5,B,B1
Test Student 0117,test.student0117@somaiya.edu,5,B,B2
Test Student 0118,test.student0118@somaiya.edu,5,B,B1
Test Student 0119,test.student0119@somaiya.edu,5,B,B2
Test Student 0120,test.student0120@somaiya.edu,5,B,B1
Test Student 0121,test.student0121@somaiya.edu,5,B,B2
Test Student 0122,test.student0122@somaiya.edu,5,B,B1
Test Student 0123,test.student0123@somaiya.edu,5,B,B2
Test Student 0124,test.student0124@somaiya.edu,5,B,B1
Test Student 0125,test.student0125@somaiya.edu,5,B,B2
Test Student 0126,test.student0126@somaiya.edu,5,B,B1
Test Student 0127,test.student0127@somaiya.edu,5,B,B2
Test Student 0128,test.student0128@somaiya.edu,5,B,B1
Test Student 0129,test.student0129@somaiya.edu,5,B,B2
Test Student 0130,test.student0130@somaiya.edu,5,B,B1
Test Student 0131,test.student0131@somaiya.edu,5,B,B2
Test Student 0132,test.student0132@somaiya.edu,5,B,B1
Test Student 0133,test.student0133@somaiya.edu,5,B,B2
Test Student 0134,test.student0134@somaiya.edu,5,B,B1
Test Student 0135,test.student0135@somaiya.edu,5,B,B2
Test Student 0136,test.student0136@somaiya.edu,5,B,B1
Test Student 0137,test.student0137@somaiya.edu,5,B,B2
Test Student 0138,test.student0138@somaiya.edu,5,B,B1
Test Student 0139,test.student0139@somaiya.edu,5,B,B2
Test Student 0140,test.student0140@somaiya.edu,5,B,B1
Test Student 0141,test.student0141@somaiya.edu,5,B,B2
Test Student 0142,test.student0142@somaiya.edu,5,B,B1
Test Student 0143,test.student0143@somaiya.edu,5,B,B2
Test Student 0144,test.student0144@somaiya.edu,5,B,B1
Test Student 0145,test.student0145@somaiya.edu,5,B,B2
Test Student 0146,test.student0146@somaiya.edu,5,B,B1
Test Student 0147,test.student0147@somaiya.edu,5,B,B2
Test Student 0148,test.student0148@somaiya.edu,5,B,B1
Test Student 0149,test.student0149@somaiya.edu,5,B,B2
Test Student 0150,test.student0150@somaiya.edu,5,B,B1
Test Student 0151,test.student0151@somaiya.edu,5,B,B2
Test Student 0152,test.student0152@somaiya.edu,5,B,B1
Test Student 0153,test.student0153@somaiya.edu,5,B,B2
Test Student 0154,test.student0154@somaiya.edu,5,B,B1
Test Student 0155,test.student0155@somaiya.edu,5,B,B2
Test Student 0156,test.student0156@somaiya.edu,5,B,B1
Test Student 0157,test.student0157@somaiya.edu,5,B,B2
Test Student 0158,test.student0158@somaiya.edu,5,B,B1
Test Student 0159,test.student0159@somaiya.edu,5,B,B2
Test Student 0160,test.student0160@somaiya.edu,5,B,B1
Test Student 0161,test.student0161@somaiya.edu,5,B,B2
Test Student 0162,test.student0162@somaiya.edu,5,B,B1
Test Student 0163,test.student0163@somaiya.edu,5,B,B2
Test Student 0164,test.student0164@somaiya.edu,5,B,B1
Test Student 0165,test.student0165@somaiya.edu,5,B,B2
Test Student 0166,test.student0166@somaiya.edu,5,B,B1
Test Student 0167,test.student0167@somaiya.edu,5,B,B2
Test Student 0168,test.student0168@somaiya.edu,5,B,B1
Test Student 0169,test.student0169@somaiya.edu,5,B,B2
Test Student 0170,test.student0170@somaiya.edu,5,B,B1
Test Student 0171,test.student0171@somaiya.edu,5,B,B2
Test Student 0172,test.student0172@somaiya.edu,5,B,B1
Test Student 0173,test.student0173@somaiya.edu,5,B,B2
Test Student 0174,test.student0174@somaiya.edu,5,B,B1
Test Student 0175,test.student0175@somaiya.edu,5,B,B2
Test Student 0176,test.student0176@somaiya.edu,5,B,B1
Test Student 0177,test.student0177@somaiya.edu,5,B,B2
Test Student 0178,test.student0178@somaiya.edu,5,B,B1
Test Student 0179,test.student0179@somaiya.edu,5,B,B2
Test Student 0180,test.student0180@somaiya.edu,5,B,B1
Test Student 0181,test.student0181@somaiya.edu,5,B,B2
Test Student 0182,test.student0182@somaiya.edu,5,B,B1
Test Student 0183,test.student0183@somaiya.edu,5,B,B2
Test Student 0184,test.student0184@somaiya.edu,5,B,B1
Test Student 0185,test.student0185@somaiya.edu,5,B,B2
Test Student 0186,test.student0186@somaiya.edu,5,B,B1
Test Student 0187,test.student0187@somaiya.edu,5,B,B2
Test Student 0188,test.student0188@somaiya.edu,5,B,B1
Test Student 0189,test.student0189@somaiya.edu,5,B,B2
Test Student 0190,test.student0190@somaiya.edu,5,B,B1
Test Student 0191,test.student0191@somaiya.edu,5,B,B2
Test Student 0192,test.student0192@somaiya.edu,5,B,B1
Test Student 0193,test.student0193@somaiya.edu,5,B,B2
Test Student 0194,test.student0194@somaiya.edu,5,B,B1
Test Student 0195,test.student0195@somaiya.edu,5,B,B2
Test Student 0196,test.student0196@somaiya.edu,5,B,B1
Test Student 0197,test.student0197@somaiya.edu,5,B,B2
Test Student 0198,test.student0198@somaiya.edu,5,B,B1
Test Student 0199,test.student0199@somaiya.edu,5,B,B2
Test Student 0200,test.student0200@somaiya.edu,5,B,B1
Test Student 0201,test.student0201@somaiya.edu,5,B,B2
Test Student 0202,test.student0202@somaiya.edu,5,B,B1
Test Student 0203,test.student0203@somaiya.edu,5,B,B2
Test Student 0204,test.student0204@somaiya.edu,5,B,B1
Test Student 0205,test.student0205@somaiya.edu,5,B,B2
Test Student 0206,test.student0206@somaiya.edu,5,B,B1
Test Student 0207,test.student0207@somaiya.edu,5,B,B2
Test Student 0208,test.student0208@somaiya.edu,5,B,B1
Test Student 0209,test.student0209@somaiya.edu,5,B,B2
Test Student 0210,test.student0210@somaiya.edu,5,B,B1
Test Student 0211,test.student0211@somaiya.edu,5,B,B2
Test Student 0212,test.student0212@somaiya.edu,5,B,B1
Test Student 0213,test.student0213@somaiya.edu,5,B,B2
Test Student 0214,test.student0214@somaiya.edu,5,B,B1
Test Student 0215,test.student0215@somaiya.edu,5,B,B2
Test Student 0216,test.student0216@somaiya.edu,5,B,B1
Test Student 0217,test.student0217@somaiya.edu,5,B,B2
Test Student 0218,test.student0218@somaiya.edu,5,B,B1
Test Student 0219,test.student0219@somaiya.edu,5,B,B2
Test Student 0220,test.student0220@somaiya.edu,5,B,B1
Test Student 0221,test.student0221@somaiya.edu,5,B,B2
Test Student 0222,test.student0222@somaiya.edu,5,B,B1
Test Student 0223,test.student0223@somaiya.edu,5,B,B2
Test Student 0224,test.student0224@somaiya.edu,5,B,B1
Test Student 0225,test.student0225@somaiya.edu,5,B,B2
Test Student 0226,test.student0226@somaiya.edu,5,B,B1
Test Student 0227,test.student0227@somaiya.edu,5,B,B2
Test Student 0228,test.student0228@somaiya.edu,5,B,B1
Test Student 0229,test.student0229@somaiya.edu,5,B,B2
Test Student 0230,test.student0230@somaiya.edu,5,B,B1
Test Student 0231,test.student0231@somaiya.edu,5,B,B2
Test Student 0232,test.student0232@somaiya.edu,5,B,B1
Test Student 0233,test.student0233@somaiya.edu,5,B,B2
Test Student 0234,test.student0234@somaiya.edu,5,B,B1
Test Student 0235,test.student0235@somaiya.edu,5,B,B2
Test Student 0236,test.student0236@somaiya.edu,5,B,B1
Test Student 0237,test.student0237@somaiya.edu,5,B,B2
Test Student 0238,test.student0238@somaiya.edu,5,B,B1
Test Student 0239,test.student0239@somaiya.edu,5,B,B2
Test Student 0240,test.student0240@somaiya.edu,5,B,B1
Test Student 0241,test.student0241@somaiya.edu,5,B,B2
Test Student 0242,test.student0242@somaiya.edu,5,B,B1
Test Student 0243,test.student0243@somaiya.edu,5,B,B2
Test Student 0244,test.student0244@somaiya.edu,5,B,B1
Test Student 0245,test.student0245@somaiya.edu,5,B,B2
Test Student 0246,test.student0246@somaiya.edu,5,B,B1
Test Student 0247,test.student0247@somaiya.edu,5,B,B2
Test Student 0248,test.student0248@somaiya.edu,5,B,B1
Test Student 0249,test.student0249@somaiya.edu,5,B,B2
Test Student 0250,test.student0250@somaiya.edu,5,B,B1
Test Student 0251,test.student0251@somaiya.edu,5,B,B2
Test Student 0252,test.student0252@somaiya.edu,5,B,B1
Test Student 0253,test.student0253@somaiya.edu,5,B,B2
Test Student 0254,test.student0254@somaiya.edu,5,B,B1
Test Student 0255,test.student0255@somaiya.edu,5,B,B2
Test Student 0256,test.student0256@somaiya.edu,5,B,B1
Test Student 0257,test.student0257@somaiya.edu,5,B,B2
Test Student 0258,test.student0258@somaiya.edu,5,B,B1
Test Student 0259,test.student0259@somaiya.edu,5,B,B2
Test Student 0260,test.student0260@somaiya.edu,5,B,B1
Test Student 0261,test.student0261@somaiya.edu,5,B,B2
Test Student 0262,test.student0262@somaiya.edu,5,B,B1
Test Student 0263,test.student0263@somaiya.edu,5,B,B2
Test Student 0264,test.student0264@somaiya.edu,5,B,B1
Test Student 0265,test.student0265@somaiya.edu,5,B,B2
Test Student 0266,test.student0266@somaiya.edu,5,B,B1
Test Student 0267,test.student0267@somaiya.edu,5,B,B2
Test Student 0268,test.student0268@somaiya.edu,5,B,B1
Test Student 0269,test.student0269@somaiya.edu,5,B,B2
Test Student 0270,test.student0270@somaiya.edu,5,B,B1
Test Student 0271,test.student0271@somaiya.edu,5,B,B2
Test Student 0272,test.student0272@somaiya.edu,5,B,B1
Test Student 0273,test.student0273@somaiya.edu,5,B,B2
Test Student 0274,test.student0274@somaiya.edu,5,B,B1
Test Student 0275,test.student0275@somaiya.edu,5,B,B2
Test Student 0276,test.student0276@somaiya.edu,5,B,B1
Test Student 0277,test.student0277@somaiya.edu,5,B,B2
Test Student 0278,test.student0278@somaiya.edu,5,B,B1
Test Student 0279,test.student0279@somaiya.edu,5,B,B2
Test Student 0280,test.student0280@somaiya.edu,5,B,B1
Test Student 0281,test.student0281@somaiya.edu,5,B,B2
Test Student 0282,test.student0282@somaiya.edu,5,B,B1
Test Student 0283,test.student0283@somaiya.edu,5,B,B2
Test Student 0284,test.student0284@somaiya.edu,5,B,B1
Test Student 0285,test.student0285@somaiya.edu,5,B,B2
Test Student 0286,test.student0286@somaiya.edu,5,B,B1
Test Student 0287,test.student0287@somaiya.edu,5,B,B2
Test Student 0288,test.student0288@somaiya.edu,5,B,B1
Test Student 0289,test.student0289@somaiya.edu,5,B,B2
Test Student 0290,test.student0290@somaiya.edu,5,B,B1
Test Student 0291,test.student0291@somaiya.edu,5,B,B2
Test Student 0292,test.student0292@somaiya.edu,5,B,B1
Test Student 0293,test.student0293@somaiya.edu,5,B,B2
Test Student 0294,test.student0294@somaiya.edu,5,B,B1
Test Student 0295,test.student0295@somaiya.edu,5,B,B2
Test Student 0296,test.student0296@somaiya.edu,5,B,B1
Test Student 0297,test.student0297@somaiya.edu,5,B,B2
Test Student 0298,test.student0298@somaiya.edu,5,B,B1
Test Student 0299,test.student0299@somaiya.edu,5,B,B2
Test Student 0300,test.student0300@somaiya.edu,5,B,B1
Test Student 0301,test.student0301@somaiya.edu,5,B,B2
Test Student 0302,test.student0302@somaiya.edu,5,B,B1
Test Student 0303,test.student0303@somaiya.edu,5,B,B2
Test Student 0304,test.student0304@somaiya.edu,5,B,B1
Test Student 0305,test.student0305@somaiya.edu,5,B,B2
Test Student 0306,test.student0306@somaiya.edu,5,B,B1
Test Student 0307,test.student0307@somaiya.edu,5,B,B2
Test Student 0308,test.student0308@somaiya.edu,5,B,B1
Test Student 0309,test.student0309@somaiya.edu,5,B,B2
Test Student 0310,test.student0310@somaiya.edu,5,B,B1
Test Student 0311,test.student0311@somaiya.edu,5,B,B2
Test Student 0312,test.student0312@somaiya.edu,5,B,B1
Test Student 0313,test.student0313@somaiya.edu,5,B,B2
Test Student 0314,test.student0314@somaiya.edu,5,B,B1
Test Student 0315,test.student0315@somaiya.edu,5,B,B2
Test Student 0316,test.student0316@somaiya.edu,5,B,B1
Test Student 0317,test.student0317@somaiya.edu,5,B,B2
Test Student 0318,test.student0318@somaiya.edu,5,B,B1
Test Student 0319,test.student0319@somaiya.edu,5,B,B2
Test Student 0320,test.student0320@somaiya.edu,5,B,B1
Test Student 0321,test.student0321@somaiya.edu,5,B,B2
Test Student 0322,test.student0322@somaiya.edu,5,B,B1
Test Student 0323,test.student0323@somaiya.edu,5,B,B2
Test Student 0324,test.student0324@somaiya.edu,5,B,B1
Test Student 0325,test.student0325@somaiya.edu,5,B,B2
Test Student 0326,test.student0326@somaiya.edu,5,B,B1
Test Student 0327,test.student0327@somaiya.edu,5,B,B2
Test Student 0328,test.student0328@somaiya.edu,5,B,B1
Test Student 0329,test.student0329@somaiya.edu,5,B,B2
Test Student 0330,test.student0330@somaiya.edu,5,B,B1
Test Student 0331,test.student0331@somaiya.edu,5,B,B2
Test Student 0332,test.student0332@somaiya.edu,5,B,B1
Test Student 0333,test.student0333@somaiya.edu,5,B,B2
Test Student 0334,test.student0334@somaiya.edu,5,B,B1
Test Student 0335,test.student0335@somaiya.edu,5,B,B2
Test Student 0336,test.student0336@somaiya.edu,5,B,B1
Test Student 0337,test.student0337@somaiya.edu,5,B,B2
Test Student 0338,test.student0338@somaiya.edu,5,B,B1
Test Student 0339,test.student0339@somaiya.edu,5,B,B2
Test Student 0340,test.student0340@somaiya.edu,5,B,B1
Test Student 0341,test.student0341@somaiya.edu,5,B,B2
Test Student 0342,test.student0342@somaiya.edu,5,B,B1
Test Student 0343,test.student0343@somaiya.edu,5,B,B2
Test Student 0344,test.student0344@somaiya.edu,5,B,B1
Test Student 0345,test.student0345@somaiya.edu,5,B,B2
Test Student 0346,test.student0346@somaiya.edu,5,B,B1
Test Student 0347,test.student0347@somaiya.edu,5,B,B2
Test Student 0348,test.student0348@somaiya.edu,5,B,B1
Test Student 0349,test.student0349@somaiya.edu,5,B,B2
Test Student 0350,test.student0350@somaiya.edu,5,B,B1
Test Student 0351,test.student0351@somaiya.edu,5,B,B2
Test Student 0352,test.student0352@somaiya.edu,5,B,B1
Test Student 0353,test.student0353@somaiya.edu,5,B,B2
Test Student 0354,test.student0354@somaiya.edu,5,B,B1
Test Student 0355,test.student0355@somaiya.edu,5,B,B2
Test Student 0356,test.student0356@somaiya.edu,5,B,B1
Test Student 0357,test.student0357@somaiya.edu,5,B,B2
Test Student 0358,test.student0358@somaiya.edu,5,B,B1
Test Student 0359,test.student0359@somaiya.edu,5,B,B2
Test Student 0360,test.student0360@somaiya.edu,5,B,B1
Test Student 0361,test.student0361@somaiya.edu,5,B,B2
Test Student 0362,test.student0362@somaiya.edu,5,B,B1
Test Student 0363,test.student0363@somaiya.edu,5,B,B2
Test Student 0364,test.student0364@somaiya.edu,5,B,B1
Test Student 0365,test.student0365@somaiya.edu,5,B,B2
Test Student 0366,test.student0366@somaiya.edu,5,B,B1
Test Student 0367,test.student0367@somaiya.edu,5,B,B2
Test Student 0368,test.student0368@somaiya.edu,5,B,B1
Test Student 0369,test.student0369@somaiya.edu,5,B,B2
Test Student 0370,test.student0370@somaiya.edu,5,B,B1
Test Student 0371,test.student0371@somaiya.edu,5,B,B2
Test Student 0372,test.student0372@somaiya.edu,5,B,B1
Test Student 0373,test.student0373@somaiya.edu,5,B,B2
Test Student 0374,test.student0374@somaiya.edu,5,B,B1
Test Student 0375,test.student0375@somaiya.edu,5,B,B2
Test Student 0376,test.student0376@somaiya.edu,5,B,B1
Test Student 0377,test.student0377@somaiya.edu,5,B,B2
Test Student 0378,test.student0378@somaiya.edu,5,B,B1
Test Student 0379,test.student0379@somaiya.edu,5,B,B2
Test Student 0380,test.student0380@somaiya.edu,5,B,B1
Test Student 0381,test.student0381@somaiya.edu,5,B,B2
Test Student 0382,test.student0382@somaiya.edu,5,B,B1
Test Student 0383,test.student0383@somaiya.edu,5,B,B2
Test Student 0384,test.student0384@somaiya.edu,5,B,B1
Test Student 0385,test.student0385@somaiya.edu,5,B,B2
Test Student 0386,test.student0386@somaiya.edu,5,B,B1
Test Student 0387,test.student0387@somaiya.edu,5,B,B2
Test Student 0388,test.student0388@somaiya.edu,5,B,B1
Test Student 0389,test.student0389@somaiya.edu,5,B,B2
Test Student 0390,test.student0390@somaiya.edu,5,B,B1
Test Student 0391,test.student0391@somaiya.edu,5,B,B2
Test Student 0392,test.student0392@somaiya.edu,5,B,B1
Test Student 0393,test.student0393@somaiya.edu,5,B,B2
Test Student 0394,test.student0394@somaiya.edu,5,B,B1
Test Student 0395,test.student0395@somaiya.edu,5,B,B2
Test Student 0396,test.student0396@somaiya.edu,5,B,B1
Test Student 0397,test.student0397@somaiya.edu,5,B,B2
Test Student 0398,test.student0398@somaiya.edu,5,B,B1
Test Student 0399,test.student0399@somaiya.edu,5,B,B2
Test Student 0400,test.student0400@somaiya.edu,5,B,B1
Test Student 0401,test.student0401@somaiya.edu,5,B,B2
Test Student 0402,test.student0402@somaiya.edu,5,B,B1
Test Student 0403,test.student0403@somaiya.edu,5,B,B2
Test Student 0404,test.student0404@somaiya.edu,5,B,B1
Test Student 0405,test.student0405@somaiya.edu,5,B,B2
Test Student 0406,test.student0406@somaiya.edu,5,B,B1
Test Student 0407,test.student0407@somaiya.edu,5,B,B2
Test Student 0408,test.student0408@somaiya.edu,5,B,B1
Test Student 0409,test.student0409@somaiya.edu,5,B,B2
Test Student 0410,test.student0410@somaiya.edu,5,B,B1
Test Student 0411,test.student0411@somaiya.edu,5,B,B2
Test Student 0412,test.student0412@somaiya.edu,5,B,B1
Test Student 0413,test.student0413@somaiya.edu,5,B,B2
Test Student 0414,test.student0414@somaiya.edu,5,B,B1
Test Student 0415,test.student0415@somaiya.edu,5,B,B2
Test Student 0416,test.student0416@somaiya.edu,5,B,B1
Test Student 0417,test.student0417@somaiya.edu,5,B,B2
Test Student 0418,test.student0418@somaiya.edu,5,B,B1
Test Student 0419,test.student0419@somaiya.edu,5,B,B2
Test Student 0420,test.student0420@somaiya.edu,5,B,B1
Test Student 0421,test.student0421@somaiya.edu,5,B,B2
Test Student 0422,test.student0422@somaiya.edu,5,B,B1
Test Student 0423,test.student0423@somaiya.edu,5,B,B2
Test Student 0424,test.student0424@somaiya.edu,5,B,B1
Test Student 0425,test.student0425@somaiya.edu,5,B,B2
Test Student 0426,test.student0426@somaiya.edu,5,B,B1
Test Student 0427,test.student0427@somaiya.edu,5,B,B2
Test Student 0428,test.student0428@somaiya.edu,5,B,B1
Test Student 0429,test.student0429@somaiya.edu,5,B,B2
Test Student 0430,test.student0430@somaiya.edu,5,B,B1
Test Student 0431,test.student0431@somaiya.edu,5,B,B2
Test Student 0432,test.student0432@somaiya.edu,5,B,B1
Test Student 0433,test.student0433@somaiya.edu,5,B,B2
Test Student 0434,test.student0434@somaiya.edu,5,B,B1
Test Student 0435,test.student0435@somaiya.edu,5,B,B2
Test Student 0436,test.student0436@somaiya.edu,5,B,B1
Test Student 0437,test.student0437@somaiya.edu,5,B,B2
Test Student 0438,test.student0438@somaiya.edu,5,B,B1
Test Student 0439,test.student0439@somaiya.edu,5,B,B2
Test Student 0440,test.student0440@somaiya.edu,5,B,B1
Test Student 0441,test.student0441@somaiya.edu,5,B,B2
Test Student 0442,test.student0442@somaiya.edu,5,B,B1
Test Student 0443,test.student0443@somaiya.edu,5,B,B2
Test Student 0444,test.student0444@somaiya.edu,5,B,B1
Test Student 0445,test.student0445@somaiya.edu,5,B,B2
Test Student 0446,test.student0446@somaiya.edu,5,B,B1
Test Student 0447,test.student0447@somaiya.edu,5,B,B2
Test Student 0448,test.student0448@somaiya.edu,5,B,B1
Test Student 0449,test.student0449@somaiya.edu,5,B,B2
Test Student 0450,test.student0450@somaiya.edu,5,B,B1
Test Student 0451,test.student0451@somaiya.edu,5,B,B2
Test Student 0452,test.student0452@somaiya.edu,5,B,B1
Test Student 0453,test.student0453@somaiya.edu,5,B,B2
Test Student 0454,test.student0454@somaiya.edu,5,B,B1
Test Student 0455,test.student0455@somaiya.edu,5,B,B2
Test Student 0456,test.student0456@somaiya.edu,5,B,B1
Test Student 0457,test.student0457@somaiya.edu,5,B,B2
Test Student 0458,test.student0458@somaiya.edu,5,B,B1
Test Student 0459,test.student0459@somaiya.edu,5,B,B2
Test Student 0460,test.student0460@somaiya.edu,5,B,B1
Test Student 0461,test.student0461@somaiya.edu,5,B,B2
Test Student 0462,test.student0462@somaiya.edu,5,B,B1
Test Student 0463,test.student0463@somaiya.edu,5,B,B2
Test Student 0464,test.student0464@somaiya.edu,5,B,B1
Test Student 0465,test.student0465@somaiya.edu,5,B,B2
Test Student 0466,test.student0466@somaiya.edu,5,B,B1
Test Student 0467,test.student0467@somaiya.edu,5,B,B2
Test Student 0468,test.student0468@somaiya.edu,5,B,B1
Test Student 0469,test.student0469@somaiya.edu,5,B,B2
Test Student 0470,test.student0470@somaiya.edu,5,B,B1
Test Student 0471,test.student0471@somaiya.edu,5,B,B2
Test Student 0472,test.student0472@somaiya.edu,5,B,B1
Test Student 0473,test.student0473@somaiya.edu,5,B,B2
Test Student 0474,test.student0474@somaiya.edu,5,B,B1
Test Student 0475,test.student0475@somaiya.edu,5,B,B2
Test Student 0476,test.student0476@somaiya.edu,5,B,B1
Test Student 0477,test.student0477@somaiya.edu,5,B,B2
Test Student 0478,test.student0478@somaiya.edu,5,B,B1
Test Student 0479,test.student0479@somaiya.edu,5,B,B2
Test Student 0480,test.student0480@somaiya.edu,5,B,B1
Test Student 0481,test.student0481@somaiya.edu,5,B,B2
